sample,haplotype,file_location,annotation_type,reference,file_size
HG01258,maternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01258-maternal.bed,ASat,N/A,N/A
HG01258,paternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01258-paternal.bed,ASat,N/A,N/A
HG01358,maternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01358-maternal.bed,ASat,N/A,N/A
HG01358,paternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01358-paternal.bed,ASat,N/A,N/A
HG01361,maternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01361-maternal.bed,ASat,N/A,N/A
HG01361,paternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01361-paternal.bed,ASat,N/A,N/A
HG01891,maternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01891-maternal.bed,ASat,N/A,N/A
HG01891,paternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01891-paternal.bed,ASat,N/A,N/A
HG01928,maternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01928-maternal.bed,ASat,N/A,N/A
HG01928,paternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01928-paternal.bed,ASat,N/A,N/A
HG01952,maternal,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01952-maternal.bed,ASat,N/A,N/A
HG01952,paternal,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01952-paternal.bed,ASat,N/A,N/A
HG01978,maternal,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01978-maternal.bed,ASat,N/A,N/A
HG01978,paternal,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG01978-paternal.bed,ASat,N/A,N/A
HG02055,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02055-maternal.bed,ASat,N/A,N/A
HG02055,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02055-paternal.bed,ASat,N/A,N/A
HG02080,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02080-maternal.bed,ASat,N/A,N/A
HG02080,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02080-paternal.bed,ASat,N/A,N/A
HG02109,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02109-maternal.bed,ASat,N/A,N/A
HG02109,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02109-paternal.bed,ASat,N/A,N/A
HG02145,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02145-maternal.bed,ASat,N/A,N/A
HG02145,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02145-paternal.bed,ASat,N/A,N/A
HG02148,maternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02148-maternal.bed,ASat,N/A,N/A
HG02148,paternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02148-paternal.bed,ASat,N/A,N/A
HG02257,maternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02257-maternal.bed,ASat,N/A,N/A
HG02257,paternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02257-paternal.bed,ASat,N/A,N/A
HG02486,maternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02486-maternal.bed,ASat,N/A,N/A
HG02486,paternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02486-paternal.bed,ASat,N/A,N/A
HG02559,maternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02559-maternal.bed,ASat,N/A,N/A
HG02559,paternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02559-paternal.bed,ASat,N/A,N/A
HG02572,maternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02572-maternal.bed,ASat,N/A,N/A
HG02572,paternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02572-paternal.bed,ASat,N/A,N/A
HG02622,maternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02622-maternal.bed,ASat,N/A,N/A
HG02622,paternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02622-paternal.bed,ASat,N/A,N/A
HG02630,maternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02630-maternal.bed,ASat,N/A,N/A
HG02630,paternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02630-paternal.bed,ASat,N/A,N/A
HG02717,maternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02717-maternal.bed,ASat,N/A,N/A
HG02717,paternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02717-paternal.bed,ASat,N/A,N/A
HG02723,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02723-maternal.bed,ASat,N/A,N/A
HG02723,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02723-paternal.bed,ASat,N/A,N/A
HG02818,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02818-maternal.bed,ASat,N/A,N/A
HG02818,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02818-paternal.bed,ASat,N/A,N/A
HG02886,maternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02886-maternal.bed,ASat,N/A,N/A
HG02886,paternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG02886-paternal.bed,ASat,N/A,N/A
HG03098,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03098-maternal.bed,ASat,N/A,N/A
HG03098,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03098-paternal.bed,ASat,N/A,N/A
HG03453,maternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03453-maternal.bed,ASat,N/A,N/A
HG03453,paternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03453-paternal.bed,ASat,N/A,N/A
HG03486,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03486-maternal.bed,ASat,N/A,N/A
HG03486,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03486-paternal.bed,ASat,N/A,N/A
HG03492,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03492-maternal.bed,ASat,N/A,N/A
HG03492,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03492-paternal.bed,ASat,N/A,N/A
HG03516,maternal,s3://human-pangenomics/working/HPRC/HG03516/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03516-maternal.bed,ASat,N/A,N/A
HG03516,paternal,s3://human-pangenomics/working/HPRC/HG03516/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03516-paternal.bed,ASat,N/A,N/A
HG03540,maternal,s3://human-pangenomics/working/HPRC/HG03540/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03540-maternal.bed,ASat,N/A,N/A
HG03540,paternal,s3://human-pangenomics/working/HPRC/HG03540/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03540-paternal.bed,ASat,N/A,N/A
HG03579,maternal,s3://human-pangenomics/working/HPRC/HG03579/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03579-maternal.bed,ASat,N/A,N/A
HG03579,paternal,s3://human-pangenomics/working/HPRC/HG03579/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG03579-paternal.bed,ASat,N/A,N/A
NA18906,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA18906/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA18906-maternal.bed,ASat,N/A,N/A
NA18906,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA18906/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA18906-paternal.bed,ASat,N/A,N/A
NA19240,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA19240/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA19240-maternal.bed,ASat,N/A,N/A
NA19240,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA19240/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA19240-paternal.bed,ASat,N/A,N/A
NA20129,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA20129/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA20129-maternal.bed,ASat,N/A,N/A
NA20129,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA20129/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA20129-paternal.bed,ASat,N/A,N/A
NA21309,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA21309/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA21309-maternal.bed,ASat,N/A,N/A
NA21309,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA21309/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-NA21309-paternal.bed,ASat,N/A,N/A
GCA_000001405.15_GRCh38_no_alt_analysis_set,-,s3://human-pangenomics/working/HPRC_PLUS/GRCh38/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/GCA_000001405.15_GRCh38_no_alt_analysis_set.dna_brnn.bed,DNA_BRNN,N/A,97308
HG002,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG002.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,231598
HG002,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG002.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,222098
HG00438,maternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00438.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,184684
HG00438,paternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00438.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,188642
HG005,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG005.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,163152
HG005,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG005.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,216827
HG00621,maternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00621.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,182385
HG00621,paternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00621.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,178521
HG00673,maternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00673.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,197658
HG00673,paternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00673.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,208099
HG00733,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00733.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,194749
HG00733,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00733.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,226772
HG00735,maternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00735.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,199354
HG00735,paternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00735.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,217269
HG00741,maternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00741.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,213375
HG00741,paternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00741.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,213626
HG01071,maternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01071.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,205905
HG01071,paternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01071.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,209047
HG01106,maternal,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01106.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,226234
HG01106,paternal,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01106.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,219582
HG01109,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01109.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,225217
HG01109,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01109.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,227549
HG01123,maternal,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01123.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,198216
HG01123,paternal,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01123.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,194956
HG01175,maternal,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01175.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,212799
HG01175,paternal,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01175.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,199662
HG01243,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01243.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,183451
HG01243,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01243.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,199774
HG01258,maternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01258.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,190546
HG01258,paternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01258.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,223883
HG01358,maternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01358.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,209632
HG01358,paternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01358.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,225374
HG01361,maternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01361.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,187200
HG01361,paternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01361.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,188705
HG01891,maternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01891.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,199810
HG01891,paternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01891.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,202721
HG01928,maternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01928.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,195262
HG01928,paternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG01928.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,N/A,244647
